root_id,cell_type,super_class,side,home_neuropil,betweenness_estimate
720575940628908548,CT1,optic,right,LO_L,767920574.0
720575940626979621,CT1,optic,left,LO_R,704272865.0
720575940632777320,OA-AL2b2,visual_centrifugal,right,ME_R,429789240.0
720575940625525740,OA-AL2b2,visual_centrifugal,left,ME_L,428496121.0
720575940626403917,MeMe_e13,optic,left,ME_R,385047840.0
720575940626044942,OA-AL2b2,visual_centrifugal,right,ME_R,360830587.0
720575940627497244,Li33,optic,left,LO_R,358544898.0
720575940627996285,OA-AL2b2,visual_centrifugal,left,ME_L,342576923.0
720575940613583001,APL,central,right,MB_CA_R,315935662.0
720575940624547622,APL,central,left,MB_ML_L,296213274.0
720575940625952755,Li33,optic,right,LO_L,270120133.0
720575940628038808,cM15,visual_centrifugal,left,ME_R,266515670.0
720575940614710509,cML01,visual_centrifugal,right,ME_R,260151747.0
720575940631190016,cM15,visual_centrifugal,right,ME_L,246022545.0
720575940631945815,cM05,visual_centrifugal,right,ME_L,234576844.0
720575940611563310,Sm42,optic,right,ME_R,232828729.0
720575940636543668,MeMe_e13,optic,right,ME_L,227537592.0
720575940635089945,cML01,visual_centrifugal,left,ME_L,225801908.0
720575940612976497,cM05,visual_centrifugal,left,ME_R,198158416.0
720575940623444044,Sm42,optic,left,ME_L,195750298.0
