root_id,cell_type,super_class,side,home_neuropil,in_degree
720575940626979621,CT1,optic,left,LO_R,10356
720575940628908548,CT1,optic,right,LO_L,10182
720575940636543668,MeMe_e13,optic,right,ME_L,5684
720575940625952755,Li33,optic,right,LO_L,5432
720575940626403917,MeMe_e13,optic,left,ME_R,5349
720575940622523508,Li31,optic,right,LO_L,5265
720575940627497244,Li33,optic,left,LO_R,5134
720575940640851363,Li31,optic,left,LO_R,4762
720575940629513222,Am1,optic,left,LOP_L,4627
720575940623888397,Pm14,optic,right,ME_R,4571
720575940623499132,Pm14,optic,right,ME_R,4557
720575940628307026,Am1,optic,right,LOP_R,4518
720575940621116807,LT33,optic,left,LO_R,4493
720575940631306284,LT33,optic,right,LO_L,4398
720575940611563310,Sm42,optic,right,ME_R,4268
720575940623444044,Sm42,optic,left,ME_L,3924
720575940626039996,Pm14,optic,left,ME_L,3837
720575940634612194,LPi15,optic,right,LOP_R,3742
720575940621393172,Pm14,optic,left,ME_L,3683
720575940618554041,Sm41,optic,right,ME_R,3642
