root_id,cell_type,super_class,side,home_neuropil,in_synapses
720575940626979621,CT1,optic,left,LO_R,69948
720575940628908548,CT1,optic,right,LO_L,68400
720575940624547622,APL,central,left,MB_ML_L,68332
720575940613583001,APL,central,right,MB_CA_R,63780
720575940620975696,DPM,central,left,MB_ML_L,50943
720575940634612194,LPi15,optic,right,LOP_R,49946
720575940625934094,DPM,central,right,MB_ML_R,41525
720575940619991862,LPi15,optic,left,LOP_L,38506
720575940627497244,Li33,optic,left,LO_R,38080
720575940625952755,Li33,optic,right,LO_L,37421
720575940628307026,Am1,optic,right,LOP_R,36672
720575940650935673,Li32,optic,right,LO_R,31338
720575940640736371,Li30,optic,right,LO_R,30584
720575940628069501,Li32,optic,left,LO_L,29743
720575940633305681,Li30,optic,left,LO_L,29449
720575940629513222,Am1,optic,left,LOP_L,28515
720575940627190556,LPi14,optic,right,LOP_R,27404
720575940632504874,LPi14,optic,right,LOP_R,27079
720575940611563310,Sm42,optic,right,ME_R,26195
720575940620008758,LPi13,optic,right,LOP_R,25778
