root_id,cell_type,super_class,side,home_neuropil,out_degree
720575940628908548,CT1,optic,right,LO_L,9783
720575940626979621,CT1,optic,left,LO_R,9610
720575940628038808,cM15,visual_centrifugal,left,ME_R,8454
720575940628307026,Am1,optic,right,LOP_R,8445
720575940631190016,cM15,visual_centrifugal,right,ME_L,7787
720575940629513222,Am1,optic,left,LOP_L,7731
720575940625952755,Li33,optic,right,LO_L,7453
720575940627497244,Li33,optic,left,LO_R,7283
720575940632777320,OA-AL2b2,visual_centrifugal,right,ME_R,6153
720575940613065130,cL21,visual_centrifugal,right,LO_R,5798
720575940626044942,OA-AL2b2,visual_centrifugal,right,ME_R,5784
720575940618444473,cL21,visual_centrifugal,left,LO_L,5759
720575940625049781,cL21,visual_centrifugal,left,LO_L,5754
720575940627996285,OA-AL2b2,visual_centrifugal,left,ME_L,5683
720575940625525740,OA-AL2b2,visual_centrifugal,left,ME_L,5630
720575940635684762,cL21,visual_centrifugal,right,LO_R,5544
720575940620008758,LPi13,optic,right,LOP_R,5148
720575940614710509,cML01,visual_centrifugal,right,ME_R,5045
720575940622516852,OA-AL2i1,visual_centrifugal,right,ME_R,5044
720575940626403917,MeMe_e13,optic,left,ME_R,4581
