root_id,cell_type,super_class,side,home_neuropil,out_synapses
720575940628908548,CT1,optic,right,LO_L,99871
720575940626979621,CT1,optic,left,LO_R,98624
720575940624547622,APL,central,left,MB_ML_L,60103
720575940613583001,APL,central,right,MB_CA_R,50681
720575940627497244,Li33,optic,left,LO_R,47851
720575940625952755,Li33,optic,right,LO_L,47162
720575940634612194,LPi15,optic,right,LOP_R,35806
720575940620008758,LPi13,optic,right,LOP_R,33763
720575940628307026,Am1,optic,right,LOP_R,31889
720575940628038808,cM15,visual_centrifugal,left,ME_R,28611
720575940612976497,cM05,visual_centrifugal,left,ME_R,27811
720575940619991862,LPi15,optic,left,LOP_L,26469
720575940631945815,cM05,visual_centrifugal,right,ME_L,26318
720575940611563310,Sm42,optic,right,ME_R,25951
720575940629513222,Am1,optic,left,LOP_L,25375
720575940631190016,cM15,visual_centrifugal,right,ME_L,25236
720575940650935673,Li32,optic,right,LO_R,24625
720575940632777320,OA-AL2b2,visual_centrifugal,right,ME_R,23829
720575940623444044,Sm42,optic,left,ME_L,23469
720575940628069501,Li32,optic,left,LO_L,23093
