neuropil,home_neurons,synapses_located_here,synapses_within_home_block,synapses_out_of_home_block,synapses_into_home_block
ME_R,23786,8821540,5890967,2937432,1325030
ME_L,23384,7712403,4982978,2643097,1128888
LO_R,9864,3877311,1708268,2139854,2382423
LO_L,10601,3792886,1695849,2072511,2171425
GNG,6093,2713213,2260469,728797,1308226
AVLP_R,2026,2000857,1480574,881858,1095599
LOP_R,7150,1901109,1095114,829503,864024
AVLP_L,1709,1510021,1123991,710578,909778
LOP_L,7068,1189689,680273,591257,791763
SMP_R,1995,898333,421008,603788,780067
FB,1978,897766,800172,159972,231587
PVLP_L,1247,895615,225953,545919,862469
SMP_L,1924,816580,363170,560131,700408
AL_L,1611,760542,309722,348142,208651
PLP_L,1375,746323,165541,619958,653949
SPS_R,968,731877,176152,543632,743484
AL_R,1268,727451,283288,316455,201730
SLP_R,2002,723028,369870,477303,537292
PVLP_R,1050,704599,160173,451605,729703
PLP_R,1207,664786,161739,575681,594149
LH_R,744,664653,239988,583245,317995
LH_L,814,602473,233127,616845,342846
SPS_L,739,569251,125610,413213,606416
SLP_L,1933,544953,263739,348932,419307
SAD,960,527408,115399,280825,231551
IPS_L,823,500696,133215,422625,480666
IPS_R,725,480261,116426,388366,441027
LAL_R,497,437642,154548,373439,434362
LAL_L,507,432296,136298,344718,427665
ICL_R,577,360940,92925,310341,455588
PRW,542,352333,171603,160309,130127
CRE_R,690,342435,70414,259562,334557
ICL_L,551,327927,73898,279984,380836
MB_ML_L,2545,325421,403109,201767,286764
CRE_L,520,322237,47894,219911,278468
EB,392,282714,277073,32254,77960
VES_R,222,282167,57732,220030,220361
SCL_R,184,280743,9556,122980,116310
LA_R,4553,273732,67890,158500,146169
VES_L,244,263765,56936,223290,241792
MB_CA_L,38,263221,844,57993,31297
WED_R,240,254680,33023,163622,111881
MB_ML_R,2100,250422,165730,222869,254968
SCL_L,186,245157,9828,128970,117467
MB_CA_R,37,230379,1784,107270,96278
SIP_R,276,229288,14954,136265,144934
AOTU_R,519,215603,78048,139005,177882
SIP_L,173,197040,7654,81670,91011
WED_L,105,196091,16915,103172,58705
AOTU_L,490,182479,64651,116208,156535
LA_L,5168,169170,69092,80596,66160
IB_R,217,158215,15002,116387,165135
IB_L,198,142166,8065,86049,123795
MB_PED_L,36,133514,293,10267,26477
FLA_R,152,129153,6327,58911,57974
MB_PED_R,67,124306,214,7634,9658
MB_VL_R,340,113967,13093,63973,69021
NO,32,103904,2743,42331,33252
AMMC_R,359,101793,14313,54806,41326
FLA_L,132,99577,3677,39136,32096
AMMC_L,259,98011,6658,38923,48087
MB_VL_L,38,94051,271,8358,11410
GOR_R,49,76880,928,25084,38523
GOR_L,70,76258,1765,36689,65373
PB,102,63306,9751,36279,14491
EPA_L,9,58224,10,3519,4692
EPA_R,8,47698,10,5300,7140
ATL_L,54,37726,2635,19638,21424
ATL_R,32,33747,1951,13827,16162
GA_L,14,15863,622,4644,6485
CAN_R,1,15540,0,1312,3975
CAN_L,3,13368,5,2805,10249
AME_R,6,12524,953,2824,3209
AME_L,12,11001,1112,3267,3077
GA_R,5,10283,8,1784,2351
OCG,314,10030,4356,5793,5590
BU_R,35,10029,17,5614,9033
(unassigned),285,4185,3,12,4
BU_L,26,4097,12,1539,4415
