pre_root_id,pre_cell_type,pre_super_class,post_root_id,post_cell_type,post_super_class,synapses
720575940644702112,LT39,visual_centrifugal,720575940625952755,Li33,optic,2405
720575940623475324,LT39,visual_centrifugal,720575940627497244,Li33,optic,2316
720575940650935673,Li32,optic,720575940640736371,Li30,optic,2058
720575940628069501,Li32,optic,720575940633305681,Li30,optic,2012
720575940622132545,cMLLP02,visual_centrifugal,720575940628908548,CT1,optic,1897
720575940644702112,LT39,visual_centrifugal,720575940633305681,Li30,optic,1659
720575940623475324,LT39,visual_centrifugal,720575940640736371,Li30,optic,1520
720575940611563310,Sm42,optic,720575940618554041,Sm41,optic,1482
720575940625959667,cMLLP02,visual_centrifugal,720575940626979621,CT1,optic,1479
720575940627190556,LPi14,optic,720575940628307026,Am1,optic,1416
720575940629382150,LPi12,optic,720575940634612194,LPi15,optic,1335
720575940634612194,LPi15,optic,720575940627706398,VCH,visual_centrifugal,1322
720575940632504874,LPi14,optic,720575940628307026,Am1,optic,1297
720575940628307026,Am1,optic,720575940634612194,LPi15,optic,1297
720575940621619627,cM16,visual_centrifugal,720575940606756030,Pm13,optic,1296
720575940634612194,LPi15,optic,720575940639209956,DCH,visual_centrifugal,1281
720575940624547622,APL,central,720575940620975696,DPM,central,1276
720575940623444044,Sm42,optic,720575940613686698,Sm41,optic,1231
720575940631966149,cMLLP02,visual_centrifugal,720575940626979621,CT1,optic,1222
720575940621507549,CB0689,central,720575940623067389,LAL051,central,1132
