super_class,neurons,neuron_share,synapses_in,synapses_out,synapse_in_share,synapses_in_per_neuron
(no annotation),14,0.0001,1553,952,3e-05,110.9
ascending,1750,0.01257,230676,1227099,0.00423,131.8
central,32383,0.23254,22510645,21170126,0.41309,695.1
descending,1303,0.00936,2213351,730604,0.04062,1698.7
endocrine,80,0.00057,24045,1039,0.00044,300.6
motor,110,0.00079,244929,14569,0.00449,2226.6
optic,77537,0.5568,22310883,24798676,0.40943,287.7
sensory,16904,0.12139,426109,1181213,0.00782,25.2
sensory_ascending,612,0.00439,10494,51079,0.00019,17.1
visual_centrifugal,524,0.00376,668014,1372685,0.01226,1274.8
visual_projection,8038,0.05772,5852223,3944880,0.10739,728.1
