[13:55:00] calibrating expand_100
[13:55:00]   expand_100 gain 0.003: ['DEAD', 'DEAD', 'DEAD']
[13:55:00]   expand_100 gain 0.004403: ['DEAD', 'DEAD', 'DEAD']
[13:55:00]   expand_100 gain 0.006463: ['DEAD', 'DEAD', 'DEAD']
[13:55:00]   expand_100 gain 0.009487: ['DEAD', 'DEAD', 'DEAD']
[13:55:00]   expand_100 gain 0.01392: ['DEAD', 'DEAD', 'DEAD']
[13:55:00]   expand_100 gain 0.02044: ['DEAD', 'STABLE', 'DEAD']
[13:55:00]   expand_100 gain 0.03: ['STABLE', 'STABLE', 'STABLE']
[13:55:00]   expand_100 gain 0.04403: ['STABLE', 'STABLE', 'STABLE']
[13:55:00]   expand_100 gain 0.06463: ['STABLE', 'STABLE', 'STABLE']
[13:55:00]   expand_100 gain 0.09487: ['STABLE', 'STABLE', 'STABLE']
[13:55:00]   expand_100 gain 0.1392: ['STABLE', 'STABLE', 'STABLE']
[13:55:00]   expand_100 gain 0.2044: ['STABLE', 'SATURATED', 'STABLE']
[13:55:00]   expand_100 gain 0.3: ['STABLE', 'SATURATED', 'SATURATED']
[13:55:00]   expand_100 gain 0.4403: ['SATURATED', 'SATURATED', 'SATURATED']
[13:55:00]   expand_100 gain 0.6463: ['SATURATED', 'SATURATED', 'SATURATED']
[13:55:00]   expand_100 gain 0.9487: ['SATURATED', 'SATURATED', 'SATURATED']
[13:55:00]   expand_100 gain 1.392: ['SATURATED', 'SATURATED', 'SATURATED']
[13:55:00]   expand_100 gain 2.044: ['SATURATED', 'SATURATED', 'SATURATED']
[13:55:00]   expand_100 gain 3: ['SATURATED', 'SATURATED', 'SATURATED']
[13:55:00] expand_100: stable gains [0.030000000000000013, 0.13924766500838337] -> baseline 0.06463304070095653
[13:55:00] calibrating expand_1k
[13:55:00]   expand_1k gain 0.003: ['DEAD', 'DEAD', 'DEAD']
[13:55:00]   expand_1k gain 0.004403: ['DEAD', 'DEAD', 'DEAD']
[13:55:00]   expand_1k gain 0.006463: ['DEAD', 'DEAD', 'DEAD']
