[14:00:09]   neuropil_PB gain 0.003: ['DEAD', 'DEAD', 'DEAD']
[14:00:09]   neuropil_PB gain 0.004403: ['DEAD', 'DEAD', 'DEAD']
[14:00:09]   neuropil_PB gain 0.006463: ['DEAD', 'DEAD', 'DEAD']
[14:00:09]   neuropil_PB gain 0.009487: ['DEAD', 'DEAD', 'DEAD']
[14:00:09]   neuropil_PB gain 0.01392: ['DEAD', 'DEAD', 'DEAD']
[14:00:09]   neuropil_PB gain 0.02044: ['DEAD', 'DEAD', 'DEAD']
[14:00:09]   neuropil_PB gain 0.03: ['STABLE', 'STABLE', 'DEAD']
[14:00:09]   neuropil_PB gain 0.04403: ['STABLE', 'STABLE', 'STABLE']
[14:00:09]   neuropil_PB gain 0.06463: ['STABLE', 'STABLE', 'STABLE']
[14:00:09]   neuropil_PB gain 0.09487: ['SATURATED', 'SATURATED', 'SATURATED']
[14:00:09]   neuropil_PB gain 0.1392: ['SATURATED', 'SATURATED', 'SATURATED']
[14:00:09]   neuropil_PB gain 0.2044: ['SATURATED', 'SATURATED', 'SATURATED']
[14:00:09]   neuropil_PB gain 0.3: ['SATURATED', 'SATURATED', 'SATURATED']
[14:00:09]   neuropil_PB gain 0.4403: ['SATURATED', 'SATURATED', 'SATURATED']
[14:00:09]   neuropil_PB gain 0.6463: ['SATURATED', 'SATURATED', 'SATURATED']
[14:00:09]   neuropil_PB gain 0.9487: ['SATURATED', 'SATURATED', 'SATURATED']
[14:00:09]   neuropil_PB gain 1.392: ['SATURATED', 'SATURATED', 'SATURATED']
[14:00:09]   neuropil_PB gain 2.044: ['SATURATED', 'SATURATED', 'SATURATED']
[14:00:09]   neuropil_PB gain 3: ['SATURATED', 'SATURATED', 'SATURATED']
[14:00:09] neuropil_PB with glutamate=+1: stable [0.04403397802866209, 0.06463304070095653] -> baseline 0.053348382301167695
