[14:05:37] sensitivity expand_1k at gain 0.03
[14:05:37]   baseline: ['STABLE', 'STABLE', 'STABLE']
[14:05:37]   transform=sqrt: ['DEAD', 'DEAD', 'DEAD']
[14:05:37]   transform=log1p: ['DEAD', 'DEAD', 'DEAD']
[14:05:37]   transform=clipped(20): ['DEAD', 'STABLE', 'STABLE']
[14:05:38]   glutamate=+1: ['SATURATED', 'SATURATED', 'SATURATED']
[14:05:38]   modulators=+1: ['STABLE', 'STABLE', 'STABLE']
[14:05:38]   modulators=-1: ['STABLE', 'STABLE', 'STABLE']
[14:05:38]   sign source=edge: ['STABLE', 'STABLE', 'STABLE']
[14:05:38]   min_synapses=5: ['DEAD', 'DEAD', 'STABLE']
[14:05:38]   tau_m=10ms: ['STABLE', 'STABLE', 'STABLE']
[14:05:38]   tau_m=40ms: ['STABLE', 'STABLE', 'STABLE']
[14:05:38]   delay=2ms: ['STABLE', 'STABLE', 'STABLE']
[14:05:38]   delay=5ms: ['STABLE', 'STABLE', 'STABLE']
[14:05:38]   refractory=5ms: ['STABLE', 'STABLE', 'STABLE']
[14:05:38]   gain x0.5: ['STABLE', 'STABLE', 'STABLE']
[14:05:38]   gain x2: ['STABLE', 'STABLE', 'STABLE']
[14:05:38] sensitivity neuropil_SPS_R at gain 0.1392
[14:05:38]   baseline: ['STABLE', 'STABLE', 'STABLE']
[14:05:38]   transform=sqrt: ['STABLE', 'STABLE', 'STABLE']
[14:05:38]   transform=log1p: ['STABLE', 'STABLE', 'STABLE']
[14:05:38]   transform=clipped(20): ['STABLE', 'STABLE', 'STABLE']
[14:05:38]   glutamate=+1: ['SATURATED', 'SATURATED', 'SATURATED']
[14:05:38]   modulators=+1: ['STABLE', 'STABLE', 'STABLE']
[14:05:38]   modulators=-1: ['STABLE', 'STABLE', 'STABLE']
[14:05:38]   sign source=edge: ['STABLE', 'STABLE', 'STABLE']
[14:05:38]   min_synapses=5: ['STABLE', 'STABLE', 'STABLE']
[14:05:38]   tau_m=10ms: ['STABLE', 'STABLE', 'STABLE']
[14:05:38]   tau_m=40ms: ['STABLE', 'STABLE', 'STABLE']
[14:05:38]   delay=2ms: ['STABLE', 'STABLE', 'STABLE']
[14:05:38]   delay=5ms: ['STABLE', 'STABLE', 'STABLE']
[14:05:38]   refractory=5ms: ['STABLE', 'STABLE', 'STABLE']
[14:05:38]   gain x0.5: ['STABLE', 'STABLE', 'STABLE']
[14:05:38]   gain x2: ['STABLE', 'STABLE', 'STABLE']
