[16:46:19] [1/216] expand_50k 1e-05 s2 numpy_event_driven: 1054.4 us/step, peak RSS 164 MiB, ac 45% (1.5s)
[16:46:20] [2/216] expand_50k 1e-05 s2 compiled_time_step: 95.0 us/step, peak RSS 214 MiB, ac 45% (0.7s)
[16:46:20] [3/216] expand_1k 1e-05 s1 compiled_time_step: 0.6 us/step, peak RSS 155 MiB, ac 45% (0.6s)
[16:46:21] [4/216] expand_50k 0.1 s3 compiled_time_step: 649.5 us/step, peak RSS 233 MiB, ac 45% (1.2s)
[16:46:22] [5/216] expand_10k 1e-05 s2 numpy_time_step: 7.8 us/step, peak RSS 103 MiB, ac 45% (0.4s)
[16:46:23] [6/216] expand_50k 1e-05 s3 numpy_event_driven: 1180.5 us/step, peak RSS 166 MiB, ac 45% (1.6s)
[16:46:24] [7/216] expand_1k 0.0001 s1 numpy_time_step: 3.5 us/step, peak RSS 90 MiB, ac 45% (0.4s)
[16:46:24] [8/216] expand_10k 0.0001 s2 compiled_event_driven: 2.1 us/step, peak RSS 168 MiB, ac 45% (0.6s)
[16:46:25] [9/216] expand_10k 1e-05 s1 numpy_time_step: 7.5 us/step, peak RSS 103 MiB, ac 45% (0.4s)
[16:46:26] [10/216] expand_50k 0.1 s2 compiled_time_step: 596.4 us/step, peak RSS 233 MiB, ac 45% (1.2s)
[16:46:27] [11/216] expand_10k 0.001 s1 compiled_event_driven: 17.6 us/step, peak RSS 168 MiB, ac 45% (0.6s)
[16:46:27] [12/216] expand_1k 1e-05 s2 numpy_time_step: 2.8 us/step, peak RSS 90 MiB, ac 46% (0.4s)
[16:46:28] [13/216] expand_10k 0.01 s3 numpy_time_step: 103.7 us/step, peak RSS 105 MiB, ac 46% (0.5s)
[16:46:28] [14/216] expand_1k 0.1 s3 numpy_event_driven: 90.9 us/step, peak RSS 91 MiB, ac 46% (0.5s)
[16:46:29] [15/216] expand_50k 0.0001 s2 compiled_time_step: 84.1 us/step, peak RSS 214 MiB, ac 46% (0.7s)
[16:46:32] [16/216] expand_10k 0.5 s2 numpy_event_driven: 2588.9 us/step, peak RSS 165 MiB, ac 46% (3.0s)
[16:46:32] [17/216] expand_1k 0.0001 s3 compiled_event_driven: 0.1 us/step, peak RSS 156 MiB, ac 46% (0.6s)
[16:46:33] [18/216] expand_10k 0.001 s2 compiled_event_driven: 27.1 us/step, peak RSS 169 MiB, ac 46% (0.6s)
[16:46:36] [19/216] expand_50k 0.5 s2 compiled_time_step: 1810.3 us/step, peak RSS 309 MiB, ac 46% (2.5s)
[16:46:43] [20/216] expand_50k 0.5 s2 numpy_time_step: 6914.0 us/step, peak RSS 420 MiB, ac 46% (7.4s)
[16:46:46] [21/216] expand_50k 0.1 s3 numpy_time_step: 2288.4 us/step, peak RSS 252 MiB, ac 46% (2.7s)
[16:46:47] [22/216] expand_10k 0.01 s2 numpy_event_driven: 570.9 us/step, peak RSS 106 MiB, ac 46% (1.0s)
[16:46:47] [23/216] expand_10k 0.0001 s3 numpy_event_driven: 41.2 us/step, peak RSS 105 MiB, ac 46% (0.4s)
[16:46:50] [24/216] expand_50k 0.0001 s3 numpy_event_driven: 1848.9 us/step, peak RSS 160 MiB, ac 46% (2.3s)
[16:46:50] [25/216] expand_10k 0.0001 s1 compiled_event_driven: 2.9 us/step, peak RSS 168 MiB, ac 46% (0.6s)
[16:46:51] [26/216] expand_10k 0.01 s1 numpy_event_driven: 571.1 us/step, peak RSS 105 MiB, ac 46% (1.0s)
[16:46:52] [27/216] expand_10k 0.0001 s1 compiled_time_step: 6.8 us/step, peak RSS 168 MiB, ac 46% (0.6s)
[16:46:52] [28/216] expand_1k 0.001 s1 numpy_time_step: 8.2 us/step, peak RSS 91 MiB, ac 46% (0.4s)
[16:46:53] [29/216] expand_1k 0.01 s2 compiled_time_step: 1.3 us/step, peak RSS 155 MiB, ac 46% (0.6s)
[16:46:53] [30/216] expand_1k 0.0001 s3 numpy_event_driven: 5.5 us/step, peak RSS 91 MiB, ac 46% (0.4s)
[16:46:54] [31/216] expand_1k 0.01 s2 compiled_event_driven: 2.2 us/step, peak RSS 156 MiB, ac 46% (0.6s)
[16:46:55] [32/216] expand_10k 0.0001 s3 compiled_time_step: 6.9 us/step, peak RSS 168 MiB, ac 46% (0.6s)
[16:46:55] [33/216] expand_1k 0.1 s3 compiled_time_step: 4.1 us/step, peak RSS 156 MiB, ac 46% (0.6s)
[16:46:56] [34/216] expand_50k 0.01 s3 compiled_time_step: 196.7 us/step, peak RSS 216 MiB, ac 46% (0.8s)
[16:46:58] [35/216] expand_50k 0.1 s1 compiled_event_driven: 991.6 us/step, peak RSS 235 MiB, ac 46% (1.6s)
[16:46:58] [36/216] expand_10k 0.001 s3 numpy_time_step: 49.9 us/step, peak RSS 104 MiB, ac 46% (0.5s)
[16:46:59] [37/216] expand_10k 0.1 s1 compiled_time_step: 80.9 us/step, peak RSS 172 MiB, ac 46% (0.7s)
[16:46:59] [38/216] expand_10k 0.0001 s3 numpy_time_step: 17.1 us/step, peak RSS 103 MiB, ac 46% (0.4s)
[16:47:02] [39/216] expand_50k 0.1 s2 numpy_time_step: 2322.7 us/step, peak RSS 259 MiB, ac 46% (2.8s)
[16:47:02] [40/216] expand_10k 0.0001 s1 numpy_event_driven: 56.2 us/step, peak RSS 107 MiB, ac 46% (0.5s)
[16:47:03] [41/216] expand_50k 0.01 s1 compiled_time_step: 185.1 us/step, peak RSS 216 MiB, ac 46% (0.8s)
[16:47:04] [42/216] expand_10k 0.5 s2 compiled_time_step: 265.4 us/step, peak RSS 187 MiB, ac 46% (0.9s)
[16:47:12] [43/216] expand_50k 0.5 s3 numpy_time_step: 6871.9 us/step, peak RSS 470 MiB, ac 46% (7.3s)
[16:47:14] [44/216] expand_50k 0.0001 s2 numpy_event_driven: 1667.4 us/step, peak RSS 163 MiB, ac 46% (2.1s)
[16:47:14] [45/216] expand_10k 0.01 s1 compiled_time_step: 20.4 us/step, peak RSS 168 MiB, ac 46% (0.5s)
[16:47:15] [46/216] expand_10k 0.001 s2 compiled_time_step: 12.5 us/step, peak RSS 168 MiB, ac 46% (0.5s)
[16:47:15] [47/216] expand_10k 1e-05 s3 compiled_time_step: 5.6 us/step, peak RSS 168 MiB, ac 46% (0.5s)
[16:47:16] [48/216] expand_10k 0.01 s2 compiled_time_step: 21.3 us/step, peak RSS 168 MiB, ac 46% (0.5s)
[16:47:17] [49/216] expand_50k 1e-05 s3 numpy_time_step: 307.0 us/step, peak RSS 159 MiB, ac 46% (0.7s)
[16:47:17] [50/216] expand_1k 0.0001 s2 numpy_time_step: 3.6 us/step, peak RSS 90 MiB, ac 46% (0.4s)
[16:47:20] [51/216] expand_50k 0.5 s3 compiled_event_driven: 2341.0 us/step, peak RSS 312 MiB, ac 47% (2.9s)
[16:47:21] [52/216] expand_50k 0.1 s3 compiled_event_driven: 803.5 us/step, peak RSS 235 MiB, ac 47% (1.3s)
[16:47:22] [53/216] expand_10k 0.001 s3 numpy_event_driven: 286.7 us/step, peak RSS 106 MiB, ac 47% (0.7s)
[16:47:22] [54/216] expand_1k 0.0001 s1 compiled_time_step: 0.6 us/step, peak RSS 155 MiB, ac 47% (0.5s)
[16:47:23] [55/216] expand_10k 0.0001 s2 compiled_time_step: 6.4 us/step, peak RSS 168 MiB, ac 47% (0.5s)
[16:47:23] [56/216] expand_1k 0.01 s3 numpy_time_step: 12.9 us/step, peak RSS 90 MiB, ac 47% (0.4s)
[16:47:24] [57/216] expand_10k 0.001 s3 compiled_event_driven: 20.5 us/step, peak RSS 168 MiB, ac 47% (0.6s)
[16:47:27] [58/216] expand_10k 0.5 s3 numpy_event_driven: 2345.6 us/step, peak RSS 173 MiB, ac 47% (2.7s)
[16:47:28] [59/216] expand_50k 0.01 s2 numpy_time_step: 598.1 us/step, peak RSS 170 MiB, ac 47% (1.0s)
[16:47:30] [60/216] expand_50k 0.001 s3 numpy_event_driven: 1938.3 us/step, peak RSS 167 MiB, ac 47% (2.3s)
[16:47:30] [61/216] expand_1k 0.0001 s2 compiled_event_driven: 0.1 us/step, peak RSS 156 MiB, ac 47% (0.5s)
[16:47:31] [62/216] expand_50k 0.01 s1 numpy_time_step: 591.4 us/step, peak RSS 164 MiB, ac 47% (1.0s)
[16:47:32] [63/216] expand_1k 0.01 s3 compiled_event_driven: 2.2 us/step, peak RSS 156 MiB, ac 47% (0.5s)
