[16:54:33] spot check gain 0.03: identical True, NumPy 0.39s, compiled 0.28s
[16:54:35] spot check gain 0.3: identical True, NumPy 1.18s, compiled 0.29s
[16:54:36]   full gain 0.003: ['DEAD', 'DEAD', 'DEAD']
[16:54:37]   full gain 0.004403: ['DEAD', 'DEAD', 'DEAD']
[16:54:38]   full gain 0.006463: ['DEAD', 'DEAD', 'DEAD']
[16:54:39]   full gain 0.009487: ['DEAD', 'DEAD', 'DEAD']
[16:54:40]   full gain 0.01392: ['DEAD', 'DEAD', 'DEAD']
[16:54:41]   full gain 0.02044: ['STABLE', 'STABLE', 'DEAD']
[16:54:42]   full gain 0.03: ['STABLE', 'STABLE', 'STABLE']
[16:54:43]   full gain 0.04403: ['STABLE', 'STABLE', 'STABLE']
[16:54:44]   full gain 0.06463: ['STABLE', 'STABLE', 'STABLE']
[16:54:45]   full gain 0.09487: ['STABLE', 'STABLE', 'STABLE']
[16:54:47]   full gain 0.1392: ['STABLE', 'STABLE', 'STABLE']
[16:54:48]   full gain 0.2044: ['STABLE', 'STABLE', 'STABLE']
[16:54:50]   full gain 0.3: ['STABLE', 'STABLE', 'STABLE']
[16:54:51]   full gain 0.4403: ['STABLE', 'STABLE', 'STABLE']
[16:54:53]   full gain 0.6463: ['SATURATED', 'SATURATED', 'SATURATED']
[16:54:56]   full gain 0.9487: ['SATURATED', 'SATURATED', 'SATURATED']
[16:54:59]   full gain 1.392: ['SATURATED', 'SATURATED', 'SATURATED']
[16:55:02]   full gain 2.044: ['SATURATED', 'SATURATED', 'SATURATED']
[16:55:05]   full gain 3: ['SATURATED', 'SATURATED', 'SATURATED']
[16:55:05] full: stable gains [0.030000000000000013, 0.44033978028662085] -> baseline 0.11493560548671865
